Location,Claimants
Maseru,1954
Leribe,1402
Berea,1347
Qumbu,1307
Mafeteng,1157
Mohale's Hoek,1128
Bizana,1079
Cofimvaba,992
Lusikisiki,880
Welkom,862
Idutywa,791
Port Saint John's,652
Butterworth,543
Mount Fletcher,527
Flagstaff,526
Matatiele,511
Fort Beaufort,506
Ntabankulu,478
Virginia,451
Thaba-Tseka,449
Mokhotlong,415
Qacha's Nek,414
Grahamstown,335
Alice,311
Butha-Buthe,298
Cathcart,269
Nhlangano,264
King William's Town,259
Odendaalrus,246
Chipinge,237
Libode,234
Tsomo,233
Swaziland District,228
Southern District,216
Queenstown,210
Middledrift,210
Peddie,203
Mdantsane,200
Dimbaza,196
Odendaalsrus,192
Cala,179
Bathurst,175
Kweneng District,173
Hlatikhulu,169
Clocolan,157
Allanridge,153
Thamaga,153
Port Alfred,149
